rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,,,
23191,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,122.38742,0.00077,-0.00077,0,0.417,,,0,1.54,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,0,255,,,0,89.95,,,0,2454983.4041,0.0032,-0.0032,0,BJD,0,0.01,0.5,-0.5,0,0.0698,,,0,6.6362,,,0,144,51,-51,0,0.0235,0.00087,-0.00087,0,,,,,,,,,,,,0,,,,,,,,,,,,,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,4807,50,-50,0,0.6,0.02,-0.02,0,0.65,0.02,-0.02,0,,,,0,,,,,,4.69,0.1,-0.1,0,9.8,3.7,-3.7,0,,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2013-10-28,2014-01-08,2013-10-28,1,0,0,0,0,2,,,
23192,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,122.3858681,0.0005022,-0.0005022,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,2454983.41158,0.00317,-0.00317,0,BJD,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4842,25,-25,0,0.73,,,0,0.79,,,0,-0.33,0.1,-0.1,0,[M/H],-0.578,,,0,4.61,,,0,,,,,2.8548,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2018-09-25,2018-08-16,2018-09-25,1,0,0,0,0,2,,,
23193,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,122.3863812,0.0004967,-0.0004967,0,,,,,1.75,0.08,-0.06,0,0.156,0.007,-0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454983.40871,0.00314,-0.00314,0,JD,0,,,,,,,,,7.196,0.114,-0.114,0,,,,,0.02429,0.00071,-0.00051,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4967,43.17,-39.95,0,0.67,0.02,-0.02,0,0.72,0.03,-0.03,0,-0.36,0.088,-0.093,0,[Fe/H],,,,,4.65,0.01,-0.01,0,2.34,2.15,-1.02,0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2016-05-06,2016-05,2016-05-10,1,0,0,0,0,2,,,
23194,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,122.3858681,0.0005022,-0.0005022,0,0.4324,,,0,1.72,0.1,-0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1.24,0.27,-0.19,0,269,,,0,89.96,,,0,2454983.41158,0.00317,-0.00317,0,BJD,0,0.101,0.353,-0.101,0,0.07111,0.00156,-0.00156,0,7.123,0.102,-0.102,0,133.71,9.9,-9.9,0,0.02375,0.00085,-0.00043,0,,,,,,,,,,,,0,,,,,,,,,,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4926,98,-98,0,0.66,0.04,-0.03,0,0.73,0.03,-0.06,0,-0.36,0.15,-0.15,0,[Fe/H],,,,,4.65,0.02,-0.05,0,,,,0,3.0194,0.2233,-0.8916,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2017-05-08,2017-08-31 00:00,2017-05-08,1,0,0,0,0,2,,,
23195,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,122.3863812,0.0004967,-0.0004967,0,0.4152,,,0,1.73,0.08,-0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1.17,0.21,-0.21,0,265,,,0,89.95,,,0,2454983.40871,0.00314,-0.00314,0,BJD,0,0.1675,0.2703,-0.1674,0,0.07418,0.00168,-0.00168,0,7.196,0.114,-0.114,0,131.3,9.7,-9.7,0,0.02429,0.00071,-0.00051,0,,,,,,,,,,,,0,,,,,,,,,,,,,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,[Fe/H],,,,,4.61,0.04,-0.02,0,,,,0,2.8585,0.2119,-0.935,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2015-08-25,2015-09-24,2015-08-25,1,0,0,0,0,2,,,
23196,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,,,,,,,1.843,0.102,-0.081,0,0.164,0.009,-0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,0.03,-0.03,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,4859,97,-97,0,0.71,0.03,-0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2018-09-04,2018-10,2018-09-06,1,0,0,0,0,2,,,
23197,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,122.3863812,0.0004967,-0.0004967,0,0.4152,,,0,1.73,0.08,-0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1.17,0.21,-0.21,0,265,,,0,89.95,,,0,2454983.40871,0.00314,-0.00314,0,BJD,0,0.1675,0.2703,-0.1674,0,0.07418,0.00168,-0.00168,0,7.196,0.114,-0.114,0,131.3,9.7,-9.7,0,0.02429,0.00071,-0.00051,0,,,,,,,,,,,,0,,,,,,,,,,,,,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,4797,93,,0,0.65,0.03,-0.04,0,0.64,0.04,-0.02,0,-0.46,0.14,-0.14,0,[Fe/H],,,,,4.61,0.04,-0.02,0,,,,0,2.8585,0.2119,-0.935,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2014-11-18,2014-12-04,2014-11-18,1,0,0,0,0,2,,,
23198,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,122.38718812,4.54E-06,-4.54E-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454983.404516,0.003828,-0.003828,0,BJD,0,,,,,0.0736,,,0,7.1686,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4842,25,-25,0,0.73,,,0,0.79,,,0,-0.33,0.1,-0.1,0,[M/H],-0.578,,,0,4.61,,,0,,,,,2.8548,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2016-07-26,2016-07,2016-07-28,1,0,0,0,0,2,,,
23199,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,0,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BORUCKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190505719B/abstract target=ref>Borucki et al. 2019</a>,,,,,,,,,1.67,0.051,-0.051,0,0.149,0.005,-0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.1,-0.1,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=BORUCKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190505719B/abstract target=ref>Borucki et al. 2019</a>,,5062,71,-71,0,0.66,0.02,-0.02,0,0.76,0.01,-0.01,0,,,,,,-0.591,0.008,-0.008,0,4.68,0.02,-0.02,0,,,,,3.8,0.3,-0.3,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2019-06-24,2019-05,2019-06-27,1,0,0,0,0,2,,,
23200,Kepler-62 e,Kepler-62,e,,,TIC 164458488,Gaia DR2 2107001283431633408,1,1,5,0,0,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,2013-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,122.3874,0.0008,-0.0008,0,0.427,0.004,-0.004,0,1.61,0.05,-0.05,0,0.144,0.004,-0.004,0,36,,,1,0.113,,,1,,,,,,,,,,,,,,,,,36,,,1,0.113,,,1,Mass,,,,,,,,,,,,,270,15,-15,0,89.98,0.02,-0.02,0,2454983.404,0.003,-0.003,0,BJD,0,0.06,0.05,-0.05,0,0.07,0.003,-0.003,0,6.92,0.16,-0.16,0,144,4,-4,0,0.0232,0.0003,-0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,K2 V,4925,70,-70,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,-0.37,0.04,-0.04,0,[Fe/H],-0.678,0.04,-0.043,0,4.68,0.04,-0.04,0,7,4,-4,0,3.8,0.3,-0.3,0,0.4,0.5,-0.5,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,18.69533,75.03767,67.64649,294.9836,40.0529337,0.0265511,-0.0265511,-25.1534,0.0256821,-0.0256821,-31.1696,0.0271021,-0.0271021,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684,15.027,0.066,-0.066,13.965,0.092,-0.092,12.256,0.022,-0.022,11.739,0.019,-0.019,11.659,0.021,-0.021,,,,,,,,,,,,,,,,11.607,0.023,-0.023,11.662,0.021,-0.021,11.678,0.147,-0.147,8.652,,,13.7197,0.000208,-0.000208,,,,13.1285,0.0064,-0.0064,13.725,,,2014-05-14,2013-05,2014-05-14,1,0,0,0,0,2,,,
