,pl_name,pl_orbper,pl_eqt,pl_orbeccen,st_rad,pl_imppar,pl_orbincl,pl_insol,pl_ratdor,pl_trandep
9961,Kepler-1426 b,14.2563272,797.0,0.0,1.03,0.894,85.33,95.22,10.97,0.02061
9963,Kepler-1426 b,14.256322699999998,794.0,0.0,1.02,0.3572,89.38,94.11,23.55,0.02159
9965,Kepler-1427 b,0.96897238,1851.0,0.0,1.01,0.3443,85.37,2772.48,4.38,0.01152
9966,Kepler-1427 b,0.96897238,1851.0,0.0,1.01,0.3443,85.37,2772.48,4.38,0.01152
9968,Kepler-1427 b,0.96898078,1844.0,0.0,1.0,0.065,89.25,2730.51,4.9539,0.01185
9971,Kepler-1427 b,0.96897238,1851.0,0.0,1.01,0.3443,85.37,2772.48,4.38,0.01152
9972,Kepler-1428 b,10.67607169,1141.0,0.0,1.62,0.1903,89.38,401.26,17.81,0.014180000000000002
9976,Kepler-1428 b,10.67607169,1141.0,0.0,1.62,0.1903,89.38,401.26,17.81,0.014180000000000002
9978,Kepler-1428 b,10.676159199999999,1049.0,0.0,1.43,0.40299999999999997,88.6,285.79,16.49,0.0151
9979,Kepler-1428 b,10.67607169,1141.0,0.0,1.62,0.1903,89.38,401.26,17.81,0.014180000000000002
9982,Kepler-1429 b,4.48487493,1188.0,0.0,1.03,0.1561,89.38,471.23,13.27,0.013130000000000001
9983,Kepler-1429 b,4.48494315,1199.0,0.0,1.05,0.3,88.57,488.22,12.03,0.01349
9984,Kepler-1429 b,4.48487493,1188.0,0.0,1.03,0.1561,89.38,471.23,13.27,0.013130000000000001
9985,Kepler-1429 b,4.48487493,1188.0,0.0,1.03,0.1561,89.38,471.23,13.27,0.013130000000000001
9995,Kepler-143 b,16.00749754,767.0,0.0,1.04,0.5244,89.95,81.79,106.8,0.02866
9996,Kepler-143 b,16.00749754,767.0,0.0,1.04,0.5244,89.95,81.79,106.8,0.02866
9997,Kepler-143 b,16.00747237,838.0,0.0,1.3,0.975,88.09,116.46,29.3,0.027760000000000003
9999,Kepler-143 b,16.00749754,767.0,0.0,1.04,0.5244,89.95,81.79,106.8,0.02866
10003,Kepler-143 c,27.08247084,644.0,0.0,1.04,0.787,88.24,40.58,28.4,0.04282
10004,Kepler-143 c,27.08247084,644.0,0.0,1.04,0.787,88.24,40.58,28.4,0.04282
10006,Kepler-143 c,27.08239734,703.0,0.0,1.3,0.915,87.22,57.77,18.9,0.042319999999999997
10008,Kepler-143 c,27.08247084,644.0,0.0,1.04,0.787,88.24,40.58,28.4,0.04282
10014,Kepler-1430 b,2.46050993,969.0,0.0,0.63,0.1408,89.38,208.54,9.45,0.027710000000000002
10015,Kepler-1430 b,2.46050993,969.0,0.0,0.63,0.1408,89.38,208.54,9.45,0.027710000000000002
10016,Kepler-1430 b,2.46050095,969.0,0.0,0.63,0.052000000000000005,89.71,208.54,10.26,0.02768
10017,Kepler-1430 b,2.46050993,969.0,0.0,0.63,0.1408,89.38,208.54,9.45,0.027710000000000002
10022,Kepler-1431 b,5.86601526,1064.0,0.0,1.04,0.3019,88.24,302.77,10.91,0.01955
10024,Kepler-1431 b,5.8660127,1064.0,0.0,1.04,0.539,86.8,302.77,9.67,0.0183
10025,Kepler-1431 b,5.86601526,1064.0,0.0,1.04,0.3019,88.24,302.77,10.91,0.01955
10026,Kepler-1431 b,5.86601526,1064.0,0.0,1.04,0.3019,88.24,302.77,10.91,0.01955
10030,Kepler-1432 b,23.910901100000004,722.0,0.0,1.12,0.7351,88.24,64.17,25.5,0.03362
10032,Kepler-1432 b,23.910901100000004,722.0,0.0,1.12,0.7351,88.24,64.17,25.5,0.03362
10034,Kepler-1432 b,23.910901100000004,722.0,0.0,1.12,0.7351,88.24,64.17,25.5,0.03362
10035,Kepler-1432 b,23.9107056,709.0,0.0,1.09,0.39799999999999996,89.33,59.76,34.2,0.0294
10038,Kepler-1433 b,4.13592271,1215.0,0.0,1.04,0.0797,89.38,515.81,11.44,0.01619
10041,Kepler-1433 b,4.13592271,1215.0,0.0,1.04,0.0797,89.38,515.81,11.44,0.01619
10043,Kepler-1433 b,4.13592271,1215.0,0.0,1.04,0.0797,89.38,515.81,11.44,0.01619
10044,Kepler-1433 b,4.13592927,1226.0,0.0,1.15,0.168,89.27,535.42,13.27,0.015619999999999998
10046,Kepler-1434 b,8.05337912,1320.0,0.0,2.06,0.035,89.82,717.7,11.5,0.0038299999999999996
10049,Kepler-1434 b,8.05333618,1186.0,0.0,1.44,0.2545,88.81,467.3,11.36,0.00351
10051,Kepler-1434 b,8.05333618,1186.0,0.0,1.44,0.2545,88.81,467.3,11.36,0.00351
10052,Kepler-1434 b,8.05333618,1186.0,0.0,1.44,0.2545,88.81,467.3,11.36,0.00351
10058,Kepler-1435 b,4.45343281,1427.0,0.0,1.34,0.3952,87.09,980.87,8.32,0.00474
10059,Kepler-1435 b,4.45343281,1427.0,0.0,1.34,0.3952,87.09,980.87,8.32,0.00474
10060,Kepler-1435 b,4.45342418,1331.0,0.0,1.27,0.569,85.8,740.51,7.77,0.00466
10062,Kepler-1435 b,4.45343281,1427.0,0.0,1.34,0.3952,87.09,980.87,8.32,0.00474
10065,Kepler-1436 b,9.705716,943.0,0.0,1.05,0.3399,88.24,186.89,10.22,0.014130000000000002
10067,Kepler-1436 b,9.705693,1001.0,0.0,1.39,0.941,75.52,237.46,3.76,0.01408
10069,Kepler-1436 b,9.705716,943.0,0.0,1.05,0.3399,88.24,186.89,10.22,0.014130000000000002
10070,Kepler-1436 b,9.705716,943.0,0.0,1.05,0.3399,88.24,186.89,10.22,0.014130000000000002
10072,Kepler-1437 b,10.9295461,773.0,0.0,0.87,0.4473,88.24,84.19,12.55,0.022109999999999998
10074,Kepler-1437 b,10.9295461,773.0,0.0,0.87,0.4473,88.24,84.19,12.55,0.022109999999999998
10078,Kepler-1437 b,10.9294815,770.0,0.0,0.86,0.19699999999999998,89.2,83.14,14.09,0.01969
10079,Kepler-1437 b,10.9295461,773.0,0.0,0.87,0.4473,88.24,84.19,12.55,0.022109999999999998
10082,Kepler-1438 b,2.31942009,1241.0,0.0,0.85,0.4104,87.66,561.12,10.16,0.01004
10083,Kepler-1438 b,2.31942009,1241.0,0.0,0.85,0.4104,87.66,561.12,10.16,0.01004
10085,Kepler-1438 b,2.31941571,1490.0,0.0,1.25,0.429,87.59,1164.84,10.19,0.009640000000000001
10086,Kepler-1438 b,2.31942009,1241.0,0.0,0.85,0.4104,87.66,561.12,10.16,0.01004
10091,Kepler-1439 b,8.07392849,392.0,0.0,0.38,0.475,88.81,5.6,25.48,0.11445999999999999
10093,Kepler-1439 b,8.07392849,392.0,0.0,0.38,0.475,88.81,5.6,25.48,0.11445999999999999
10094,Kepler-1439 b,8.07392849,392.0,0.0,0.38,0.475,88.81,5.6,25.48,0.11445999999999999
10097,Kepler-1439 b,8.07394097,420.0,0.0,0.4,0.9279999999999999,85.44,7.33,11.67,0.1056
10098,Kepler-144 b,5.88528169,1106.0,0.0,1.01,0.1622,89.38,353.44,23.53,0.01165
10102,Kepler-144 b,5.88528169,1106.0,0.0,1.01,0.1622,89.38,353.44,23.53,0.01165
10105,Kepler-144 b,5.88528169,1106.0,0.0,1.01,0.1622,89.38,353.44,23.53,0.01165
10109,Kepler-144 b,5.88527364,1253.0,0.0,1.43,0.622,88.06,583.47,18.35,0.01127
10113,Kepler-144 c,10.10463505,923.0,0.0,1.01,0.2457,89.38,171.87,32.61,0.01144
10115,Kepler-144 c,10.10463142,1046.0,0.0,1.43,0.5710000000000001,88.79,283.38,27.16,0.01146
10116,Kepler-144 c,10.10463505,923.0,0.0,1.01,0.2457,89.38,171.87,32.61,0.01144
10119,Kepler-144 c,10.10463505,923.0,0.0,1.01,0.2457,89.38,171.87,32.61,0.01144
10125,Kepler-1440 b,39.859484,570.0,0.0,1.07,0.5947,88.81,24.87,30.9,0.01555
10126,Kepler-1440 b,39.859484,570.0,0.0,1.07,0.5947,88.81,24.87,30.9,0.01555
10128,Kepler-1440 b,39.859484,570.0,0.0,1.07,0.5947,88.81,24.87,30.9,0.01555
10131,Kepler-1440 b,39.859505,597.0,0.0,1.29,0.39799999999999996,89.36,29.97,35.5,0.01555
10132,Kepler-1441 b,39.4419839,492.0,0.0,0.83,0.0264,89.95,13.9,41.86,0.01799
10136,Kepler-1441 b,39.4420781,682.0,0.0,1.9,0.42,89.39,51.14,39.5,0.017240000000000002
10138,Kepler-1441 b,39.4419839,492.0,0.0,0.83,0.0264,89.95,13.9,41.86,0.01799
10141,Kepler-1441 b,39.4419839,492.0,0.0,0.83,0.0264,89.95,13.9,41.86,0.01799
10144,Kepler-1442 b,81.4162941,488.0,0.0,1.09,0.6155,89.38,13.41,42.0,0.06663
10145,Kepler-1442 b,81.4162941,488.0,0.0,1.09,0.6155,89.38,13.41,42.0,0.06663
10147,Kepler-1442 b,81.41601379999999,522.0,0.0,1.4,0.9109999999999999,87.53,17.53,21.2,0.07622999999999999
10150,Kepler-1442 b,81.4162941,488.0,0.0,1.09,0.6155,89.38,13.41,42.0,0.06663
10153,Kepler-1443 b,2.41811321,1572.0,0.0,1.11,0.618,84.8,1443.27,6.73,0.00458
10154,Kepler-1443 b,2.41810158,1602.0,0.0,1.24,0.016,89.89,1555.96,8.69,0.00468
10155,Kepler-1443 b,2.41811321,1572.0,0.0,1.11,0.618,84.8,1443.27,6.73,0.00458
10158,Kepler-1443 b,2.41811321,1572.0,0.0,1.11,0.618,84.8,1443.27,6.73,0.00458
10161,Kepler-1444 b,33.42035034,542.0,0.0,0.9,0.6281,89.38,20.38,40.2,0.03848
10162,Kepler-1444 b,33.42035034,542.0,0.0,0.9,0.6281,89.38,20.38,40.2,0.03848
10163,Kepler-1444 b,33.4203001,581.0,0.0,1.07,0.789,88.55,27.02,31.2,0.043660000000000004
10167,Kepler-1444 b,33.42035034,542.0,0.0,0.9,0.6281,89.38,20.38,40.2,0.03848
10168,Kepler-1445 b,10.60052251,911.0,0.0,1.09,0.511,88.24,162.57,15.7,0.00607
10169,Kepler-1445 b,10.60052251,911.0,0.0,1.09,0.511,88.24,162.57,15.7,0.00607
10171,Kepler-1445 b,10.60052083,987.0,0.0,1.3,0.7290000000000001,86.66,224.28,12.52,0.00609
10175,Kepler-1445 b,10.60052251,911.0,0.0,1.09,0.511,88.24,162.57,15.7,0.00607
10178,Kepler-1446 b,0.68996783,2304.0,0.0,1.75,0.099,88.81,6665.5,4.405,0.01213
